题目_初中,一元二次方程极值顶点坐标计算最小,一元二次方程的图像的极值计算,通过顶点坐标计算一元二次方程的极值。例如，方程 \(y = 2x^2 - 4x + 1\) 的最小值为 \(-1\)。,极值公式：如果 \(a > 0\)，最小值为 \(f\left(-\frac{b}{2a}\right)\)；如果 \(a < 0\)，最大值为 \(f\left(-\frac{b}{2a}\right)\)
题目_初中,一元二次方程交点解方程x轴,一元二次方程的图像的交点计算,"通过解方程计算一元二次方程的图像与 \(x\) 轴的交点。例如，方程 \(y = x^2 - 4x + 3\) 与 \(x\) 轴的交点为 \((1, 0)\) 和 \((3, 0)\)。",交点公式：解方程 \(ax^2 + bx + c = 0\)，得到的根即为交点的 \(x\) 坐标
题目_初中,一元二次方程y轴截距交点代入x=0方程示例y=x^2-4x+3坐标点(03),一元二次方程的图像的 \(y\) 轴截距计算,"通过代入 \(x = 0\) 计算一元二次方程的图像与 \(y\) 轴的交点。例如，方程 \(y = x^2 - 4x + 3\) 与 \(y\) 轴的交点为 \((0, 3)\)。","\(y\) 轴截距公式：\((0, c)\)"
题目_初中,一元二次方程平移变换平移公式方程向右平移单位,一元二次方程的图像的平移变换,通过平移公式计算一元二次方程的图像的平移变换。例如，将方程 \(y = x^2\) 向右平移2个单位，得到 \(y = (x - 2)^2\)。,平移公式：将 \(y = ax^2 + bx + c\) 向右平移 \(h\) 个单位，得到 \(y = a(x - h)^2 + b(x - h) + c\)
题目_初中,一元二次方程伸缩变换伸缩公式y轴方向,一元二次方程的图像的伸缩变换,通过伸缩公式计算一元二次方程的图像的伸缩变换。例如，将方程 \(y = x^2\) 在 \(y\) 轴方向上伸缩2倍，得到 \(y = 2x^2\)。,伸缩公式：将 \(y = ax^2 + bx + c\) 在 \(y\) 轴方向上伸缩 \(k\) 倍，得到 \(y = k(ax^2 + bx + c)\)
题目_初中,一元二次方程反射变换反射公式方程\(y=x^2\)\(x\)轴\(y=-x^2\),一元二次方程的图像的反射变换,通过反射公式计算一元二次方程的图像的反射变换。例如，将方程 \(y = x^2\) 关于 \(x\) 轴反射，得到 \(y = -x^2\)。,反射公式：将 \(y = ax^2 + bx + c\) 关于 \(x\) 轴反射，得到 \(y = -(ax^2 + bx + c)\)
题目_初中,一元二次方程对称变换对称公式y轴,一元二次方程的图像的对称变换,通过对称公式计算一元二次方程的图像的对称变换。例如，将方程 \(y = x^2\) 关于 \(y\) 轴对称，得到 \(y = (-x)^2\)。,对称公式：将 \(y = ax^2 + bx + c\) 关于 \(y\) 轴对称，得到 \(y = a(-x)^2 + b(-x) + c\)
题目_初中,一元二次方程抛物线最大值顶点公式,一元二次方程的图像的综合应用,利用一元二次方程的图像解决实际问题。例如，求抛物线 \(y = -x^2 + 4x\) 的最大值和对应的 \(x\) 值。通过顶点公式计算得到最大值为4，对应的 \(x\) 值为2。,设函数关系，求顶点坐标，计算极值
题目_初中,一元二次方程性质综合应用验证坐标,一元二次方程的图像的性质综合应用,"利用一元二次方程的图像的性质解决实际问题。例如，判断方程 \(y = x^2 - 6x + 8\) 的图像是否经过点 \((3, -1)\)。通过代入点的坐标验证，发现该点不在图像上。",设函数关系，代入点的坐标，验证是否满足方程
题目_初中,一元二次方程变换平移左移上移顶点坐标系,一元二次方程的图像的变换综合应用,利用一元二次方程的图像的变换解决实际问题。例如，将方程 \(y = x^2\) 的图像向左平移3个单位，再向上平移2个单位，得到新的方程 \(y = (x + 3)^2 + 2\)。,综合变换公式：将 \(y = ax^2 + bx + c\) 向左平移 \(h\) 个单位，向上平移 \(k\) 个单位，得到 \(y = a(x + h)^2 + b(x + h) + c + k\)
题目_初中,一元二次方程对称性抛物线直线对称点坐标,一元二次方程的图像的对称性应用,"利用一元二次方程的图像的对称性解决实际问题。例如，已知抛物线 \(y = x^2 - 4x + 3\) 关于直线 \(x = 2\) 对称，求对称点 \((4, 3)\) 的对称点坐标。通过计算得到对称点为 \((0, 3)\)。","对称点公式：若点 \((x_1, y_1)\) 关于直线 \(x = h\) 对称，则对称点为 \((2h - x_1, y_1)\)"
题目_初中,一元二次方程极值抛物线顶点公式最大值,一元二次方程的图像的极值应用,利用一元二次方程的图像的极值解决实际问题。例如，求抛物线 \(y = -2x^2 + 8x - 5\) 的最大值。通过顶点公式计算得到最大值为3。,极值公式：如果 \(a > 0\)，最小值为 \(f\left(-\frac{b}{2a}\right)\)；如果 \(a < 0\)，最大值为 \(f\left(-\frac{b}{2a}\right)\)
题目_初中,一元二次方程交点抛物线直线方程组,一元二次方程的图像的交点应用,"利用一元二次方程的图像的交点解决实际问题。例如，求抛物线 \(y = x^2 - 4x + 3\) 与直线 \(y = x - 1\) 的交点。通过解方程组得到交点为 \((1, 0)\) 和 \((3, 2)\)。",交点公式：解方程组 \(\begin{cases} y = ax^2 + bx + c \\ y = mx + n \end{cases}\)，得到的解即为交点坐标
题目_初中,一元二次方程平移抛物线向右平移向下平移单位,一元二次方程的图像的平移应用,利用一元二次方程的图像的平移解决实际问题。例如，将抛物线 \(y = x^2\) 向右平移2个单位，再向下平移3个单位，得到新的抛物线 \(y = (x - 2)^2 - 3\)。,平移公式：将 \(y = ax^2 + bx + c\) 向右平移 \(h\) 个单位，向下平移 \(k\) 个单位，得到 \(y = a(x - h)^2 + b(x - h) + c - k\)
题目_初中,一元二次方程伸缩抛物线y轴方向实际问题,一元二次方程的图像的伸缩应用,利用一元二次方程的图像的伸缩解决实际问题。例如，将抛物线 \(y = x^2\) 在 \(y\) 轴方向上伸缩2倍，得到新的抛物线 \(y = 2x^2\)。,伸缩公式：将 \(y = ax^2 + bx + c\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，得到 \(y = m(ax^2 + bx + c)\)
题目_初中,一元二次方程反射抛物线\(y=x^2\)\(x\)轴\(y=-x^2\),一元二次方程的图像的反射应用,利用一元二次方程的图像的反射解决实际问题。例如，将抛物线 \(y = x^2\) 关于 \(x\) 轴反射，得到新的抛物线 \(y = -x^2\)。,反射公式：将 \(y = ax^2 + bx + c\) 关于 \(x\) 轴反射，得到 \(y = -(ax^2 + bx + c)\)
题目_初中,一元二次方程对称轴抛物线顶点公式坐标,一元二次方程的图像的对称轴应用,"利用一元二次方程的图像的对称轴解决实际问题。例如，已知抛物线 \(y = x^2 - 4x + 3\) 的对称轴为 \(x = 2\)，求对称轴上的点 \((2, -1)\) 的坐标。通过顶点公式计算得到该点坐标。",对称轴公式：\(x = -\frac{b}{2a}\)
题目_初中,一元二次方程顶点抛物线顶点坐标顶点公式,一元二次方程的图像的顶点应用,"利用一元二次方程的图像的顶点解决实际问题。例如，求抛物线 \(y = x^2 - 4x + 3\) 的顶点坐标。通过顶点公式计算得到顶点坐标为 \((2, -1)\)。","顶点公式：\(\left(-\frac{b}{2a}, f\left(-\frac{b}{2a}\right)\right)\)"
题目_初中,一元二次方程开口方向抛物线二次项系数,一元二次方程的图像的开口方向应用,利用一元二次方程的图像的开口方向解决实际问题。例如，判断抛物线 \(y = -x^2 + 4x - 3\) 的开口方向。通过观察二次项系数 \(a = -1\)，判断开口向下。,开口方向：如果 \(a > 0\)，开口向上；如果 \(a < 0\)，开口向下
题目_初中,一元二次方程增减性抛物线顶点公式开口方向,一元二次方程的图像的增减性应用,利用一元二次方程的图像的增减性解决实际问题。例如，判断抛物线 \(y = x^2 - 4x + 3\) 在 \(x < 2\) 和 \(x > 2\) 时的增减性。通过顶点公式和开口方向判断，在 \(x < 2\) 时递减，在 \(x > 2\) 时递增。,增减性：如果 \(a > 0\)，在 \(x < -\frac{b}{2a}\) 时递减，在 \(x > -\frac{b}{2a}\) 时递增；如果 \(a < 0\)，则相反
题目_初中,一元二次方程y轴截距抛物线交点代入,一元二次方程的图像的 \(y\) 轴截距应用,"利用一元二次方程的图像的 \(y\) 轴截距解决实际问题。例如，求抛物线 \(y = x^2 - 4x + 3\) 与 \(y\) 轴的交点。通过代入 \(x = 0\)，得到交点为 \((0, 3)\)。","\(y\) 轴截距公式：\((0, c)\)"
题目_初中,一元二次方程平移变换抛物线向右平移向下平移单位,一元二次方程的图像的平移变换应用,利用一元二次方程的图像的平移变换解决实际问题。例如，将抛物线 \(y = x^2\) 向右平移2个单位，再向下平移3个单位，得到新的抛物线 \(y = (x - 2)^2 - 3\)。,平移公式：将 \(y = ax^2 + bx + c\) 向右平移 \(h\) 个单位，向下平移 \(k\) 个单位，得到 \(y = a(x - h)^2 + b(x - h) + c - k\)
题目_初中,一元二次方程伸缩变换抛物线y轴方向,一元二次方程的图像的伸缩变换应用,利用一元二次方程的图像的伸缩变换解决实际问题。例如，将抛物线 \(y = x^2\) 在 \(y\) 轴方向上伸缩2倍，得到新的抛物线 \(y = 2x^2\)。,伸缩公式：将 \(y = ax^2 + bx + c\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，得到 \(y = m(ax^2 + bx + c)\)
题目_初中,一元二次方程反射变换抛物线\(y=x^2\)\(x\)轴\(y=-x^2\),一元二次方程的图像的反射变换应用,利用一元二次方程的图像的反射变换解决实际问题。例如，将抛物线 \(y = x^2\) 关于 \(x\) 轴反射，得到新的抛物线 \(y = -x^2\)。,反射公式：将 \(y = ax^2 + bx + c\) 关于 \(x\) 轴反射，得到 \(y = -(ax^2 + bx + c)\)
题目_初中,一元二次方程对称变换抛物线y轴对称,一元二次方程的图像的对称变换应用,利用一元二次方程的图像的对称变换解决实际问题。例如，将抛物线 \(y = x^2\) 关于 \(y\) 轴对称，得到新的抛物线 \(y = (-x)^2\)。,对称公式：将 \(y = ax^2 + bx + c\) 关于 \(y\) 轴对称，得到 \(y = a(-x)^2 + b(-x) + c\)
题目_初中,一元二次方程综合变换抛物线平移伸缩\(y=x^2\)\(y=2(x-2)^2\),一元二次方程的图像的综合变换应用,利用一元二次方程的图像的综合变换解决实际问题。例如，将抛物线 \(y = x^2\) 向右平移2个单位，再在 \(y\) 轴方向上伸缩2倍，得到新的抛物线 \(y = 2(x - 2)^2\)。,综合变换公式：先平移，再伸缩，最后反射
题目_初中,一元二次方程平移对称轴抛物线单位,一元二次方程的图像的平移对称轴应用,利用一元二次方程的图像的平移对称轴解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 向右平移2个单位，对称轴变为 \(x = 4\)。,平移对称轴公式：将 \(y = a(x - h)^2 + k\) 向右平移 \(p\) 个单位，对称轴变为 \(x = h + p\)
题目_初中,一元二次方程伸缩对称轴抛物线y轴方向倍数,一元二次方程的图像的伸缩对称轴应用,利用一元二次方程的图像的伸缩对称轴解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 在 \(y\) 轴方向上伸缩2倍，对称轴不变，仍为 \(x = 2\)。,伸缩对称轴公式：将 \(y = a(x - h)^2 + k\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，对称轴不变，仍为 \(x = h\)
题目_初中,一元二次方程反射对称轴抛物线实际问题,一元二次方程的图像的反射对称轴应用,利用一元二次方程的图像的反射对称轴解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 关于 \(x\) 轴反射，对称轴变为 \(x = -2\)。,反射对称轴公式：将 \(y = a(x - h)^2 + k\) 关于 \(x\) 轴反射，对称轴变为 \(x = -h\)
题目_初中,一元二次方程平移顶点抛物线向右平移单位,一元二次方程的图像的平移顶点应用,"利用一元二次方程的图像的平移顶点解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 向右平移2个单位，顶点变为 \((4, -1)\)。","平移顶点公式：将 \(y = a(x - h)^2 + k\) 向右平移 \(p\) 个单位，顶点变为 \((h + p, k)\)"
题目_初中,一元二次方程伸缩顶点抛物线y轴方向顶点坐标,一元二次方程的图像的伸缩顶点应用,"利用一元二次方程的图像的伸缩顶点解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 在 \(y\) 轴方向上伸缩2倍，顶点变为 \((2, -2)\)。","伸缩顶点公式：将 \(y = a(x - h)^2 + k\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，顶点变为 \((h, mk)\)"
题目_初中,一元二次方程反射顶点抛物线\(x\)轴,一元二次方程的图像的反射顶点应用,"利用一元二次方程的图像的反射顶点解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 关于 \(x\) 轴反射，顶点变为 \((2, 1)\)。","反射顶点公式：将 \(y = a(x - h)^2 + k\) 关于 \(x\) 轴反射，顶点变为 \((h, -k)\)"
题目_初中,一元二次方程平移开口方向抛物线向右平移单位向上,一元二次方程的图像的平移开口方向应用,利用一元二次方程的图像的平移开口方向解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 向右平移2个单位，开口方向不变，仍为向上。,平移开口方向公式：将 \(y = a(x - h)^2 + k\) 向右平移 \(p\) 个单位，开口方向不变，仍为 \(a > 0\) 向上，\(a < 0\) 向下
题目_初中,一元二次方程伸缩开口方向抛物线y轴伸缩2倍,一元二次方程的图像的伸缩开口方向应用,利用一元二次方程的图像的伸缩开口方向解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 在 \(y\) 轴方向上伸缩2倍，开口方向不变，仍为向上。,伸缩开口方向公式：将 \(y = a(x - h)^2 + k\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，开口方向不变，仍为 \(a > 0\) 向上，\(a < 0\) 向下
题目_初中,一元二次方程反射开口方向抛物线x轴向下,一元二次方程的图像的反射开口方向应用,利用一元二次方程的图像的反射开口方向解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 关于 \(x\) 轴反射，开口方向变为向下。,反射开口方向公式：将 \(y = a(x - h)^2 + k\) 关于 \(x\) 轴反射，开口方向变为 \(-a > 0\) 向上，\(-a < 0\) 向下
题目_初中,一元二次方程平移增减性抛物线向右平移单位,一元二次方程的图像的平移增减性应用,利用一元二次方程的图像的平移增减性解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 向右平移2个单位，增减性不变，仍为 \(x < 2\) 递减，\(x > 2\) 递增。,平移增减性公式：将 \(y = a(x - h)^2 + k\) 向右平移 \(p\) 个单位，增减性不变，仍为 \(x < h\) 递减，\(x > h\) 递增
题目_初中,一元二次方程伸缩增减性抛物线y轴方向,一元二次方程的图像的伸缩增减性应用,利用一元二次方程的图像的伸缩增减性解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 在 \(y\) 轴方向上伸缩2倍，增减性不变，仍为 \(x < 2\) 递减，\(x > 2\) 递增。,伸缩增减性公式：将 \(y = a(x - h)^2 + k\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，增减性不变，仍为 \(x < h\) 递减，\(x > h\) 递增
题目_初中,一元二次方程反射增减性抛物线\(y=x^2-4x+3\)\(x\)轴,一元二次方程的图像的反射增减性应用,利用一元二次方程的图像的反射增减性解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 关于 \(x\) 轴反射，增减性变为 \(x < 2\) 递增，\(x > 2\) 递减。,反射增减性公式：将 \(y = a(x - h)^2 + k\) 关于 \(x\) 轴反射，增减性变为 \(x < h\) 递增，\(x > h\) 递减
题目_初中,一元二次方程平移极值抛物线向右平移单位极值点,一元二次方程的图像的平移极值应用,"利用一元二次方程的图像的平移极值解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 向右平移2个单位，极值点变为 \((4, -1)\)。","平移极值公式：将 \(y = a(x - h)^2 + k\) 向右平移 \(p\) 个单位，极值点变为 \((h + p, k)\)"
题目_初中,一元二次方程伸缩极值抛物线y轴方向2倍,一元二次方程的图像的伸缩极值应用,利用一元二次方程的图像的伸缩极值解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 在 \(y\) 轴方向上伸缩2倍，极值变为 \(-2\)。,伸缩极值公式：将 \(y = a(x - h)^2 + k\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，极值变为 \(mk\)
题目_初中,一元二次方程反射极值抛物线\(y=x^2-4x+3\)\(x\)轴,一元二次方程的图像的反射极值应用,利用一元二次方程的图像的反射极值解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 关于 \(x\) 轴反射，极值变为 \(1\)。,反射极值公式：将 \(y = a(x - h)^2 + k\) 关于 \(x\) 轴反射，极值变为 \(-k\)
题目_初中,一元二次方程平移交点抛物线\(y=x^2-4x+3\)向右平移\(x\)轴交点坐标\((3)\)\((5)\),一元二次方程的图像的平移交点应用,"利用一元二次方程的图像的平移交点解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 向右平移2个单位，与 \(x\) 轴的交点变为 \((3, 0)\) 和 \((5, 0)\)。",平移交点公式：将 \(y = a(x - h)^2 + k\) 向右平移 \(p\) 个单位，解方程 \(a(x - (h + p))^2 + k = 0\)，得到新的交点
题目_初中,一元二次方程伸缩交点抛物线y轴方向伸缩2倍x轴,一元二次方程的图像的伸缩交点应用,"利用一元二次方程的图像的伸缩交点解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 在 \(y\) 轴方向上伸缩2倍，与 \(x\) 轴的交点变为 \((1, 0)\) 和 \((3, 0)\)。",伸缩交点公式：将 \(y = a(x - h)^2 + k\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，解方程 \(m \cdot a(x - h)^2 + k = 0\)，得到新的交点
题目_初中,一元二次方程反射交点抛物线\(y=x^2-4x+3\)\(x\)轴反射交点\((1)\)\((3)\),一元二次方程的图像的反射交点应用,"利用一元二次方程的图像的反射交点解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 关于 \(x\) 轴反射，与 \(x\) 轴的交点变为 \((1, 0)\) 和 \((3, 0)\)。",反射交点公式：将 \(y = a(x - h)^2 + k\) 关于 \(x\) 轴反射，解方程 \(-a(x - h)^2 - k = 0\)，得到新的交点
题目_初中,一元二次方程平移y轴截距抛物线向上平移单位,一元二次方程的图像的平移 \(y\) 轴截距应用,利用一元二次方程的图像的平移 \(y\) 轴截距解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 向上平移2个单位，\(y\) 轴截距变为 \(5\)。,平移 \(y\) 轴截距公式：将 \(y = ax^2 + bx + c\) 向上平移 \(k\) 个单位，\(y\) 轴截距变为 \(c + k\)
题目_初中,一元二次方程伸缩y轴截距抛物线实际问题,一元二次方程的图像的伸缩 \(y\) 轴截距应用,利用一元二次方程的图像的伸缩 \(y\) 轴截距解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 在 \(y\) 轴方向上伸缩2倍，\(y\) 轴截距变为 \(6\)。,伸缩 \(y\) 轴截距公式：将 \(y = ax^2 + bx + c\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，\(y\) 轴截距变为 \(mc\)
题目_初中,一元二次方程反射y轴截距抛物线x轴反射,一元二次方程的图像的反射 \(y\) 轴截距应用,利用一元二次方程的图像的反射 \(y\) 轴截距解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 关于 \(x\) 轴反射，\(y\) 轴截距变为 \(-3\)。,反射 \(y\) 轴截距公式：将 \(y = ax^2 + bx + c\) 关于 \(x\) 轴反射，\(y\) 轴截距变为 \(-c\)
题目_初中,一元二次方程平移对称性抛物线对称轴,一元二次方程的图像的平移对称性应用,利用一元二次方程的图像的平移对称性解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 向右平移2个单位，对称轴变为 \(x = 4\)。,平移对称性公式：将 \(y = a(x - h)^2 + k\) 向右平移 \(p\) 个单位，对称轴变为 \(x = h + p\)
题目_初中,一元二次方程伸缩对称性抛物线y轴伸缩对称轴,一元二次方程的图像的伸缩对称性应用,利用一元二次方程的图像的伸缩对称性解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 在 \(y\) 轴方向上伸缩2倍，对称轴不变，仍为 \(x = 2\)。,伸缩对称性公式：将 \(y = a(x - h)^2 + k\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，对称轴不变，仍为 \(x = h\)
题目_初中,一元二次方程反射对称性抛物线对称轴,一元二次方程的图像的反射对称性应用,利用一元二次方程的图像的反射对称性解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 关于 \(x\) 轴反射，对称轴变为 \(x = -2\)。,反射对称性公式：将 \(y = a(x - h)^2 + k\) 关于 \(x\) 轴反射，对称轴变为 \(x = -h\)
题目_初中,一元二次方程平移顶点式抛物线方程单位,一元二次方程的图像的平移顶点式应用,利用一元二次方程的图像的平移顶点式解决实际问题。例如，将抛物线 \(y = (x - 2)^2 - 1\) 向右平移3个单位，得到新的方程 \(y = (x - 5)^2 - 1\)。,平移顶点式公式：将 \(y = a(x - h)^2 + k\) 向右平移 \(p\) 个单位，得到 \(y = a(x - (h + p))^2 + k\)
题目_初中,一元二次方程伸缩顶点式抛物线方程伸缩变换纵轴方向,一元二次方程的图像的伸缩顶点式应用,利用一元二次方程的图像的伸缩顶点式解决实际问题。例如，将抛物线 \(y = (x - 2)^2 - 1\) 在 \(y\) 轴方向上伸缩2倍，得到新的方程 \(y = 2(x - 2)^2 - 2\)。,伸缩顶点式公式：将 \(y = a(x - h)^2 + k\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，得到 \(y = m \cdot a(x - h)^2 + k\)
题目_初中,一元二次方程反射顶点式抛物线\(x\)轴方程,一元二次方程的图像的反射顶点式应用,利用一元二次方程的图像的反射顶点式解决实际问题。例如，将抛物线 \(y = (x - 2)^2 - 1\) 关于 \(x\) 轴反射，得到新的方程 \(y = -(x - 2)^2 + 1\)。,反射顶点式公式：将 \(y = a(x - h)^2 + k\) 关于 \(x\) 轴反射，得到 \(y = -a(x - h)^2 - k\)
题目_初中,一元二次方程平移一般式抛物线向右平移单位新方程,一元二次方程的图像的平移一般式应用,利用一元二次方程的图像的平移一般式解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 向右平移2个单位，得到新的方程 \(y = (x - 2)^2 - 1\)。,平移一般式公式：将 \(y = ax^2 + bx + c\) 向右平移 \(h\) 个单位，得到 \(y = a(x - h)^2 + b(x - h) + c\)
题目_初中,一元二次方程伸缩一般式抛物线y轴方向方程,一元二次方程的图像的伸缩一般式应用,利用一元二次方程的图像的伸缩一般式解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 在 \(y\) 轴方向上伸缩2倍，得到新的方程 \(y = 2x^2 - 8x + 6\)。,伸缩一般式公式：将 \(y = ax^2 + bx + c\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，得到 \(y = m(ax^2 + bx + c)\)
题目_初中,一元二次方程反射一般式抛物线\(y=x^2-4x+3\)\(x\)轴新方程\(y=-x^2+4x-3\),一元二次方程的图像的反射一般式应用,利用一元二次方程的图像的反射一般式解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 关于 \(x\) 轴反射，得到新的方程 \(y = -x^2 + 4x - 3\)。,反射一般式公式：将 \(y = ax^2 + bx + c\) 关于 \(x\) 轴反射，得到 \(y = -(ax^2 + bx + c)\)
题目_初中,一元二次方程平移因式分解抛物线方程单位,一元二次方程的图像的平移因式分解式应用,利用一元二次方程的图像的平移因式分解式解决实际问题。例如，将抛物线 \(y = (x - 1)(x - 3)\) 向右平移2个单位，得到新的方程 \(y = (x - 3)(x - 5)\)。,平移因式分解式公式：将 \(y = a(x - r_1)(x - r_2)\) 向右平移 \(h\) 个单位，得到 \(y = a(x - (r_1 + h))(x - (r_2 + h))\)
题目_初中,一元二次方程伸缩因式分解抛物线y轴方程,一元二次方程的图像的伸缩因式分解式应用,利用一元二次方程的图像的伸缩因式分解式解决实际问题。例如，将抛物线 \(y = (x - 1)(x - 3)\) 在 \(y\) 轴方向上伸缩2倍，得到新的方程 \(y = 2(x - 1)(x - 3)\)。,伸缩因式分解式公式：将 \(y = a(x - r_1)(x - r_2)\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，得到 \(y = m \cdot a(x - r_1)(x - r_2)\)
题目_初中,一元二次方程反射因式分解式抛物线方程\(x\)轴,一元二次方程的图像的反射因式分解式应用,利用一元二次方程的图像的反射因式分解式解决实际问题。例如，将抛物线 \(y = (x - 1)(x - 3)\) 关于 \(x\) 轴反射，得到新的方程 \(y = -(x - 1)(x - 3)\)。,反射因式分解式公式：将 \(y = a(x - r_1)(x - r_2)\) 关于 \(x\) 轴反射，得到 \(y = -a(x - r_1)(x - r_2)\)
题目_初中,一元二次方程平移交点式抛物线方程单位,一元二次方程的图像的平移交点式应用,利用一元二次方程的图像的平移交点式解决实际问题。例如，将抛物线 \(y = (x - 1)(x - 3)\) 向右平移2个单位，得到新的方程 \(y = (x - 3)(x - 5)\)。,平移交点式公式：将 \(y = a(x - r_1)(x - r_2)\) 向右平移 \(h\) 个单位，得到 \(y = a(x - (r_1 + h))(x - (r_2 + h))\)
题目_初中,一元二次方程伸缩交点式抛物线方程\(y\)轴方向伸缩倍数,一元二次方程的图像的伸缩交点式应用,利用一元二次方程的图像的伸缩交点式解决实际问题。例如，将抛物线 \(y = (x - 1)(x - 3)\) 在 \(y\) 轴方向上伸缩2倍，得到新的方程 \(y = 2(x - 1)(x - 3)\)。,伸缩交点式公式：将 \(y = a(x - r_1)(x - r_2)\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，得到 \(y = m \cdot a(x - r_1)(x - r_2)\)
题目_初中,一元二次方程反射交点式抛物线反射交点式方程\(x\)轴,一元二次方程的图像的反射交点式应用,利用一元二次方程的图像的反射交点式解决实际问题。例如，将抛物线 \(y = (x - 1)(x - 3)\) 关于 \(x\) 轴反射，得到新的方程 \(y = -(x - 1)(x - 3)\)。,反射交点式公式：将 \(y = a(x - r_1)(x - r_2)\) 关于 \(x\) 轴反射，得到 \(y = -a(x - r_1)(x - r_2)\)
题目_初中,一元二次方程平移对称轴抛物线方程向右平移单位,一元二次方程的图像的平移对称轴式应用,利用一元二次方程的图像的平移对称轴式解决实际问题。例如，将抛物线 \(y = (x - 2)^2 - 1\) 向右平移3个单位，得到新的方程 \(y = (x - 5)^2 - 1\)。,平移对称轴式公式：将 \(y = a(x - h)^2 + k\) 向右平移 \(p\) 个单位，得到 \(y = a(x - (h + p))^2 + k\)
题目_初中,一元二次方程伸缩对称轴抛物线方程\(y=(x-2)^2-\)\(y\)轴伸缩2倍\(y=2(x-2)^2-2\),一元二次方程的图像的伸缩对称轴式应用,利用一元二次方程的图像的伸缩对称轴式解决实际问题。例如，将抛物线 \(y = (x - 2)^2 - 1\) 在 \(y\) 轴方向上伸缩2倍，得到新的方程 \(y = 2(x - 2)^2 - 2\)。,伸缩对称轴式公式：将 \(y = a(x - h)^2 + k\) 在 \(y\) 轴方向上伸缩 \(m\) 倍，得到 \(y = m \cdot a(x - h)^2 + k\)
题目_初中,一元二次方程反射对称轴抛物线方程反射对称轴,一元二次方程的图像的反射对称轴式应用,利用一元二次方程的图像的反射对称轴式解决实际问题。例如，将抛物线 \(y = (x - 2)^2 - 1\) 关于 \(x\) 轴反射，得到新的方程 \(y = -(x - 2)^2 + 1\)。,反射对称轴式公式：将 \(y = a(x - h)^2 + k\) 关于 \(x\) 轴反射，得到 \(y = -a(x - h)^2 - k\)
题目_初中,一元二次方程平移综合应用抛物线向右平移向上平移新方程,一元二次方程的图像的平移综合应用,利用一元二次方程的图像的平移解决实际问题。例如，将抛物线 \(y = x^2 - 4x + 3\) 向右平移2个单位，再向上平移3个单位，得到新的方程 \(y = (x - 4)^2 - 1 + 3\)。,平移综合公式：将 \(y = ax^2 + bx + c\) 向右平移 \(h\) 个单位，向上平移 \(k\) 个单位，得到 \(y = a(x - h)^2 + b(x - h) + c + k\)
